Classifier,Kind,Vocabulary Size,Ngram 1,Ngram 2,Coverage,F1 (micro),F1 (macro),F1 (weighted)
rf,char,2000,1,3,0.9408871739228137,0.9822727272727273,0.9827748565865394,0.9827748351928001
rf,char,5000,1,3,0.9638896201036257,0.9820454545454546,0.9825086968200558,0.9825170561304718
rf,char,1000,1,3,0.9167085064172119,0.9811363636363636,0.9816881110016215,0.9815860322193068
rf,char,5000,1,2,0.983999024095844,0.980909090909091,0.9814831799566608,0.981428778593758
rf,char,2000,1,2,0.9598473223629721,0.980909090909091,0.9814466564858293,0.9814046750135497
svc,char,5000,1,3,0.9638896201036257,0.9806818181818182,0.9811227163774562,0.9810760040319582
svc,char,2000,1,3,0.9408871739228137,0.9804545454545455,0.9808945555119483,0.9808598826916682
rf,char,1000,1,2,0.9348757327306697,0.98,0.9804931593839828,0.98046383684808
svc,char,1000,1,3,0.9167085064172119,0.9793181818181819,0.9797625564342304,0.9797482600629004
svc,char,2000,1,2,0.9598473223629721,0.9788636363636364,0.9793322156075471,0.9792850867181815
svc,char,1000,1,2,0.9348757327306697,0.9788636363636364,0.9793207571300916,0.97927868906929
svc,char,5000,1,2,0.983999024095844,0.9786363636363636,0.9790919169199132,0.9790537787818481
nb,char,5000,1,3,0.9638896201036257,0.9765909090909091,0.9775019782854512,0.9775151935166857
nb,char,2000,1,3,0.9408871739228137,0.9761363636363637,0.9770438540000878,0.9770773391810669
knn,char,5000,1,3,0.9638896201036257,0.9754545454545455,0.9760476294141521,0.9760337868684484
nb,char,1000,1,3,0.9167085064172119,0.9747727272727272,0.9756624611364013,0.9756788192185656
knn,char,2000,1,3,0.9408871739228137,0.975,0.9755539698252874,0.9755651628481808
nb,char,2000,1,2,0.9598473223629721,0.9740909090909091,0.9750382452469514,0.9750548167268128
nb,char,5000,1,2,0.983999024095844,0.9734090909090909,0.9744595151084838,0.9744801221066355
knn,char,5000,1,2,0.983999024095844,0.9736363636363636,0.9741746508544383,0.9741756270122724
knn,char,2000,1,2,0.9598473223629721,0.9736363636363636,0.9741492549485639,0.9741374676916235
nb,char,1000,1,2,0.9348757327306697,0.9731818181818181,0.9740883323774647,0.9740735332957752
rf,char,5000,1,1,0.9992860490648655,0.9731818181818181,0.9739303258588886,0.9737350206017029
knn,char,1000,1,2,0.9348757327306697,0.9731818181818181,0.973644863351548,0.9736540420661004
knn,char,1000,1,3,0.9167085064172119,0.9729545454545454,0.9735064626848711,0.9735222285518692
rf,char,1000,1,1,0.9808517331929401,0.9729545454545454,0.9735933067214194,0.9734367648906463
rf,char,2000,1,1,0.9928643429019024,0.9718181818181818,0.9725590393047324,0.9723422927820631
svc,char,5000,1,1,0.9992860490648655,0.9620454545454545,0.9629120763667253,0.9627860254209373
svc,char,2000,1,1,0.9928643429019024,0.9620454545454545,0.9629120763667253,0.9627860254209373
svc,char,1000,1,1,0.9808517331929401,0.961590909090909,0.9624048991678745,0.9623096780927771
nb,char,1000,1,1,0.9808517331929401,0.9552272727272727,0.9578334706797794,0.9574109803676452
knn,char,2000,1,1,0.9928643429019024,0.9543181818181818,0.9550485768630911,0.9549650208389688
knn,char,1000,1,1,0.9808517331929401,0.9543181818181818,0.9550287499586417,0.9549561290502846
knn,char,5000,1,1,0.9992860490648655,0.9538636363636362,0.9545871978993322,0.9545028869296119
nb,char,2000,1,1,0.9928643429019024,0.946590909090909,0.9489551724489543,0.9480278211312705
rf,word,5000,1,1,0.39786287858031066,0.9444569880334162,0.94238873777509,0.9432096908567055
rf,word,5000,1,2,0.3781103125592767,0.9442312034319259,0.9421065798133718,0.9429581281791444
rf,word,5000,1,3,0.37355786456467216,0.9442312034319259,0.9419307066541819,0.9427885459031009
svc,word,5000,1,1,0.39786287858031066,0.9437796342289456,0.9405342173446062,0.9414649414921215
svc,word,5000,1,2,0.3781103125592767,0.9433280650259652,0.940496734669458,0.9413882029097412
svc,word,5000,1,3,0.37355786456467216,0.9428764958229848,0.9400791174654156,0.9409539517133874
rf,word,2000,1,1,0.31808544270449135,0.9338451117633776,0.9311775322965108,0.9317924638873291
rf,word,2000,1,2,0.3074462031319156,0.9331677579589072,0.929557087076004,0.930226514746669
nb,char,5000,1,1,0.9992860490648655,0.9315909090909091,0.9318276330483894,0.9299598976039312
rf,word,2000,1,3,0.30510675069024384,0.9327161887559269,0.9292058049612323,0.929854072327087
svc,word,2000,1,1,0.31808544270449135,0.9322646195529465,0.9288132773517688,0.9294880417142347
svc,word,2000,1,2,0.3074462031319156,0.9320388349514563,0.9286906089718087,0.9293855109328163
svc,word,2000,1,3,0.30510675069024384,0.9320388349514563,0.9286524631559043,0.9293345638206019
rf,word,1000,1,1,0.2690496764811263,0.9257168661097314,0.921812771622536,0.9225197498377209
svc,word,1000,1,1,0.2690496764811263,0.9245879431022804,0.9204447854159311,0.9212643079931836
rf,word,1000,1,2,0.2612051341496828,0.9232332354933394,0.9200629768947415,0.9208986253560006
rf,word,1000,1,3,0.25898370813750077,0.9216527432829081,0.9183432980233422,0.9191485463838585
svc,word,1000,1,3,0.25898370813750077,0.9200722510724769,0.9170178074245264,0.9179986140826749
svc,word,1000,1,2,0.2612051341496828,0.9200722510724769,0.9169888653346372,0.9179490904522181
knn,word,1000,1,1,0.2690496764811263,0.9083314517949875,0.9080101710397397,0.9092261425688558
nb,word,5000,1,1,0.39786287858031066,0.9108150824113795,0.9025357038062897,0.9056170176848642
knn,word,1000,1,2,0.2612051341496828,0.9033641905622036,0.9026332717036073,0.9035184423839036
knn,word,1000,1,3,0.25898370813750077,0.9026868367577331,0.9020285286717526,0.9029857261154357
nb,word,5000,1,2,0.3781103125592767,0.9078798825920072,0.899350994499429,0.9024802103070488
nb,word,5000,1,3,0.37355786456467216,0.907654097990517,0.899240275246134,0.9023730468439491
knn,word,2000,1,3,0.30510675069024384,0.8884624068638519,0.895101091438,0.896180576238335
nb,word,2000,1,1,0.31808544270449135,0.9011063445473019,0.8925725724817273,0.8960318054107634
nb,word,2000,1,3,0.30510675069024384,0.8979453601264393,0.888605388092342,0.8922238478197123
nb,word,2000,1,2,0.3074462031319156,0.8979453601264393,0.8885032690762956,0.8921164245249096
knn,word,2000,1,2,0.3074462031319156,0.8825920072251072,0.8894866594114884,0.8900735941938133
knn,word,2000,1,1,0.31808544270449135,0.878527884398284,0.8883496903786502,0.8889978152927697
nb,word,1000,1,1,0.2690496764811263,0.8913976066832242,0.8807688355739246,0.8846644821549977
nb,word,1000,1,2,0.2612051341496828,0.8850756378414992,0.8755211275703256,0.8795769516218823
nb,word,1000,1,3,0.25898370813750077,0.8841724994355386,0.8747326469598226,0.8788142566332554
knn,word,5000,1,3,0.37355786456467216,0.8069541657258975,0.8358171144817081,0.8361301345843793
knn,word,5000,1,2,0.3781103125592767,0.7974712124633101,0.8290190428981401,0.8294457370906881
knn,word,5000,1,1,0.39786287858031066,0.782343644163468,0.8147853916477323,0.8154786105005224
